310,232
310,232
319,226
323,229
327,233
341,240
349,244
355,246
361,250
363,256
369,262
377,267
386,269
390,270
393,278
395,278
398,283
402,291
420,297
422,301
425,305
425,307
433,314
436,316
445,317
462,319
491,319
497,318
526,309
548,305
568,303
575,305
593,313
611,311
620,314
625,319
628,323
631,326
637,329
639,340
638,346
635,353
628,368
627,378
621,393
624,412
632,426
635,435
631,444
627,454
627,463
627,489
626,501
620,509
629,515
626,520
624,524
618,524
609,522
607,517
615,507
615,501
618,484
618,463
615,453
612,448
614,436
611,426
608,411
598,396
590,389
582,379
576,374
567,383
547,394
526,401
502,403
482,405
466,402
441,401
421,405
404,406
411,391
413,384
406,403
403,413
397,421
396,431
396,440
393,453
391,464
385,470
384,496
377,502
376,508
376,513
373,516
352,515
349,513
348,507
355,503
361,499
366,498
369,490
372,479
372,461
372,446
368,443
364,437
370,423
372,418
366,394
366,380
367,365
367,380
351,368
342,357
337,337
325,324
321,313
314,303
310,296
317,291
320,286
310,296
305,302
305,305
300,305
297,307
292,303
290,301
289,295
291,305
295,308
295,308
287,310
277,316
273,318
296,305
296,305
278,318
270,321
272,323
269,326
265,330
263,331
259,331
255,327
255,327
258,326
259,326
260,321
265,319
265,318
259,328
256,329
254,328
253,327
254,322
256,330
250,327
246,321
251,309
255,292
268,280
282,266
289,256
293,249
298,240
304,238
310,234
311,234
311,234
315,228
305,215
304,213
303,215
304,228
303,228
308,235
302,227
294,215
297,226
300,233
299,232
293,241
290,245
291,254
