
255 313 255 311
263 312 256 311
257 314 261 313
259 317 263 313
259 316 254 314
253 314 257 314
547 83 531 87
517 81 504 87
328 98 336 93
340 98 336 93
342 96 342 96
345 97 341 98
342 84 337 86
350 82 342 84
349 91 349 83
344 98 348 92
354 102 344 98
350 135 354 102
530 105 526 118
537 119 530 105
523 135 528 141
526 123 523 135
522 107 525 125
524 96 522 107
517 88 524 96
519 80 517 88
511 70 518 79
498 77 511 70
501 84 498 77
508 91 502 85
511 106 508 92
513 120 511 106
512 137 513 120
510 150 512 138
508 155 509 149
503 170 508 155
498 179 503 169
491 192 498 180
561 158 555 153
566 187 561 158
561 204 565 188
561 233 561 205
559 250 562 234
559 260 560 249
546 259 557 262
380 278 371 277
357 286 371 279
336 297 352 286
320 306 334 299
307 316 317 308
298 322 305 317
294 329 297 322
289 343 294 329
263 334 256 326
274 339 264 334
276 344 274 338
273 349 276 346
274 361 273 350
279 348 281 345
277 351 279 348
277 352 277 351
277 352 277 352
275 356 277 354
273 361 275 358
279 360 281 342
251 322 280 362
236 310 251 322
226 298 235 309
211 287 223 296
209 284 209 286
207 271 209 283
211 269 207 272
215 269 213 268
223 272 218 269
215 268 218 266
219 265 222 266
224 267 222 266
228 273 225 267
227 270 229 272
229 273 228 269
251 280 229 274
244 284 245 288
250 280 244 285
257 280 249 281
265 284 257 281
270 288 263 284
264 285 263 284
268 284 265 285
282 264 268 286
300 237 282 263
298 264 279 291
300 248 296 266
301 236 300 248
304 219 301 236
310 206 304 221
310 207 311 206
316 196 310 208
324 190 315 197
325 190 322 213
331 168 323 190
328 157 330 167
325 148 328 157
331 129 325 147
330 104 330 129
331 105 326 97
323 94 325 96
324 95 322 95
324 95 327 95
314 89 318 95
321 95 316 91
313 88 322 93
316 84 314 87
318 83 315 83
330 83 319 83
337 86 332 82
337 91 338 87
339 98 336 92
344 103 338 99
344 131 345 104
349 134 344 132
352 144 348 135
353 155 351 144
354 168 354 157
356 175 354 168
360 183 360 182
359 182 355 176
359 184 360 188
361 198 359 188
366 207 361 197
392 175 364 178
438 174 392 176
451 177 437 175
464 179 451 176
465 178 464 180
464 178 449 178
482 190 463 180
488 195 483 191
490 196 487 196
494 197 490 197
513 184 492 199
522 162 513 184
528 150 521 163
529 140 527 150
533 139 528 141
535 135 531 141
536 90 535 136
534 90 536 94
532 89 533 77
547 70 536 75
551 76 548 71
548 84 552 74
554 84 546 84
541 88 546 85
546 95 543 89
549 142 546 95
553 157 548 144
544 183 552 158
548 201 543 186
550 216 548 203
557 244 551 216
554 253 556 244
545 259 553 254
539 269 544 261
537 271 534 273
522 271 532 273
503 274 520 272
485 272 503 276
453 268 482 274
451 267 445 265
427 265 446 268
404 266 426 264
385 277 403 266
371 287 385 276
368 291 370 286
367 288 370 284
363 301 367 290
353 307 363 300
348 312 353 308
335 317 348 312
331 324 334 322
333 324 335 319
322 328 330 325
311 333 312 331
311 332 322 329
294 344 310 334
289 344 293 345
279 363 289 344
$
